KO ID,Domain,Title,Controlled Rule,Category,Status,Production Eligible,Regulatory Reference,Dependencies,File,Word Count,Rule Hash
LF-001,Literature Foundation,Weekly Literature Monitoring,Every Client Product Master Product/Search Profile shall have an approved Literature Calendar. Literature monitoring shall be executed according to the approved schedule for each product.,Business Rule,Approved,True,"GVP Module VI, ClinixAI",LF-011,01_Literature_Foundation/LF-001.md,1392,27e35e6466227b7579dfca32cb55f0a49f3606b8ed5973262eb3081da0e06585
LF-002,Literature Foundation,Literature Calendar,"Every Product/Search Profile shall have an approved Literature Calendar containing search frequency, assigned literature sources, scheduled execution dates, effective date, version and approval history. Calendar modifications shall be managed through the Admin Console with complete version control.",Business Rule,Approved,True,"GVP Module VI, ClinixAI",LF-011; LF-004; LF-014,01_Literature_Foundation/LF-002.md,1404,bcd280f7babbc5b225473307801b95d42d0bf174b46c92c708ab146bd7659cdf
LF-003,Literature Foundation,Literature Source Management,"Literature sources shall be configured per client and may include global databases, regional databases, local journals and client-approved sources. Only approved and activated literature sources shall participate in production HIT generation.",Business Rule,Approved,True,GVP Module VI,LF-011,01_Literature_Foundation/LF-003.md,1389,2b3a215858c81649deac419be4f6e3984881c2fbf04f9842d0f7bbffeaa35056
LF-004,Literature Foundation,Search Profile,"Every monitored product shall have one or more approved Search Profiles containing Brand Name, Generic Name, API, INN, Salt Forms, Approved Synonyms, Approved Abbreviations and search strategy. ClinixAI may generate search strings which must be approved before production use.",Business Rule,Approved,True,"GVP Module VI, ClinixAI",LF-011,01_Literature_Foundation/LF-004.md,1478,625a5cd5a4f14a341372b923e2cb9980b1f8f5eaf86cfbc0a34d9a9ebe02c771
LF-005,Literature Foundation,Search Execution,HIT generation shall execute only using approved Search Profiles. Manual free-text searches shall never replace configured production Search Profiles. Every execution shall be reproducible and auditable.,Workflow Rule,Approved,True,GVP Module VI,LF-011; LF-004; LF-014,01_Literature_Foundation/LF-005.md,1467,75ed446cd8cde9551f301a988e7da81ff896893d6f0ad1771e664cd3cde4476e
LF-006,Literature Foundation,Article Identity,"Every retrieved literature article shall receive a unique ClinixAI Article ID while preserving original identifiers such as PMID, DOI, Publisher ID and database accession numbers.",Workflow Rule,Approved,True,ClinixAI,LF-011,01_Literature_Foundation/LF-006.md,1373,bea806d8b96f113a2f36cb7cde4ac83c4bf47442b9ea50a3a910e88dc8b9aeb0
LF-007,Literature Foundation,Duplicate Article Management,"Articles retrieved from multiple literature sources shall be consolidated into a single Review Workspace while preserving every retrieval source, retrieval timestamp and database origin for audit purposes.",Business Rule,Approved,True,GVP Module VI,LF-011,01_Literature_Foundation/LF-007.md,1397,7d42a9a0c97e0f92af68fcad554ecbe7dbb6a1b302bfae8a748a2a3a714ccfa4
LF-008,Literature Foundation,Article Language Preservation,The original publication language shall always be preserved as the regulatory source. AI translations are working copies for reviewer convenience and shall never overwrite or replace the original publication.,AI Boundary,Approved,True,GVP Module VI,LF-011,01_Literature_Foundation/LF-008.md,1431,252fcc5625fbf1d13357db967cbfd19e9263703e71561209bb7576d64151e5f6
LF-009,Literature Foundation,Translation Management,Translation shall be performed only for AI processing and reviewer assistance. Regulatory decisions shall always remain traceable to the original publication language. Translation history shall remain auditable.,AI Rule,Approved,True,GVP Module VI,LF-011,01_Literature_Foundation/LF-009.md,1425,0e68ccf05962e45aeb6c8347fea34cca0749f26c17145ac9776d9be32bb6cb4b
LF-010,Literature Foundation,Search History & Audit Trail,"Every search execution shall permanently record the approved search string, execution timestamp, executing user/system, searched literature sources, retrieved article count, execution status, Search Profile version and Evidence Package reference. Audit records shall be immutable.",Business Rule,Approved,True,"GVP Module VI, ALCOA+, ClinixAI",LF-011; LF-004; LF-014,01_Literature_Foundation/LF-010.md,1523,602aeca4939aa3fee1017fe493fd16fcacaca9f3ce3baf57e9955fb930c33eef
