KO ID,Status,Approval Basis,Source File,Regulatory Reference,Reference Precision,Rule Hash
LF-001,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,"GVP Module VI, ClinixAI",Reference family preserved; formal section-level citation validation pending,27e35e6466227b7579dfca32cb55f0a49f3606b8ed5973262eb3081da0e06585
LF-002,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,"GVP Module VI, ClinixAI",Reference family preserved; formal section-level citation validation pending,bcd280f7babbc5b225473307801b95d42d0bf174b46c92c708ab146bd7659cdf
LF-003,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,GVP Module VI,Reference family preserved; formal section-level citation validation pending,2b3a215858c81649deac419be4f6e3984881c2fbf04f9842d0f7bbffeaa35056
LF-004,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,"GVP Module VI, ClinixAI",Reference family preserved; formal section-level citation validation pending,625a5cd5a4f14a341372b923e2cb9980b1f8f5eaf86cfbc0a34d9a9ebe02c771
LF-005,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,GVP Module VI,Reference family preserved; formal section-level citation validation pending,75ed446cd8cde9551f301a988e7da81ff896893d6f0ad1771e664cd3cde4476e
LF-006,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,ClinixAI,Reference family preserved; formal section-level citation validation pending,bea806d8b96f113a2f36cb7cde4ac83c4bf47442b9ea50a3a910e88dc8b9aeb0
LF-007,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,GVP Module VI,Reference family preserved; formal section-level citation validation pending,7d42a9a0c97e0f92af68fcad554ecbe7dbb6a1b302bfae8a748a2a3a714ccfa4
LF-008,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,GVP Module VI,Reference family preserved; formal section-level citation validation pending,252fcc5625fbf1d13357db967cbfd19e9263703e71561209bb7576d64151e5f6
LF-009,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,GVP Module VI,Reference family preserved; formal section-level citation validation pending,0e68ccf05962e45aeb6c8347fea34cca0749f26c17145ac9776d9be32bb6cb4b
LF-010,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,"GVP Module VI, ALCOA+, ClinixAI",Reference family preserved; formal section-level citation validation pending,602aeca4939aa3fee1017fe493fd16fcacaca9f3ce3baf57e9955fb930c33eef
LF-011,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,"GVP Module VI, ClinixAI",Reference family preserved; formal section-level citation validation pending,002c8dbc817d060094e0b7ec92c14eb6447f2728b192ba0eb2de275a3ea76db3
LF-012,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,GVP Module VI,Reference family preserved; formal section-level citation validation pending,dc6e8fa5de25f977ae77726d3ce1d8b76dc630e77ac740b650ed75e3aede2726
LF-013,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,ClinixAI,Reference family preserved; formal section-level citation validation pending,46cac947f0ca7373892a5fb59e272bcc159bc0d24b6a7789c1ef6c5527a0005e
LF-014,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,GVP Module VI,Reference family preserved; formal section-level citation validation pending,2b61cebbff1713bbc580ef9b1a0883073b4fbf2f8e6ad7ca0c81ca340fdbe114
LF-015,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,"GVP Module VI, ClinixAI",Reference family preserved; formal section-level citation validation pending,9fdf2638c7f518f2d58ee0bc4ec1c841693ed3b2f15b071d16befcf675c34b60
LF-016,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,GVP Module VI,Reference family preserved; formal section-level citation validation pending,c53c7b6c8d8523fbaba49755dae8ae62ea7963ce650f31c57ab36e446f32e0fc
LF-017,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,GVP Module VI,Reference family preserved; formal section-level citation validation pending,1ac300c4993aa3b3034245d1e53676492c91b8eed55453ea2f115fa038807651
LF-018,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,GVP Module VI,Reference family preserved; formal section-level citation validation pending,96a2d262fe05cb9933d06d6b11a69d747c4ea79b21a85707f4b0ce1e0d7b8a15
LF-019,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,ClinixAI,Reference family preserved; formal section-level citation validation pending,ec3a8293a395f7526516de00a75ad130e2077f4a0b77efde2babafc886aeda00
LF-020,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,GVP Module VI,Reference family preserved; formal section-level citation validation pending,378882ee72ac8220138e2f2b0761d6831e2d3989e1a22542b4b7c31b9b721a4c
LF-021,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,"GVP Module VI, ClinixAI",Reference family preserved; formal section-level citation validation pending,29d72dcd9e6a58244ab73f20d4cea8d6ddf5945ea9f8fdc89326755abf92094b
LF-022,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,ClinixAI,Reference family preserved; formal section-level citation validation pending,596edc99fb5dc6d2dae9777678963b8c8b5bbbd3f547def88866c70416994ac4
LF-023,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,"GVP Module VI, ClinixAI",Reference family preserved; formal section-level citation validation pending,bead520c75423f33b4def5a8270f4389d512e420591d4870f7ad330d4cc39e6b
LF-024,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,ClinixAI,Reference family preserved; formal section-level citation validation pending,1b7a812368da42e28fc05c3a64ae75ab6a3f7fe77907b6399c7e711506712199
LF-025,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,GVP Module VI,Reference family preserved; formal section-level citation validation pending,55d7000a5a06b3f63603c990937ed06ea99b2926aa850de664d96197e4b5dc65
LF-026,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,GVP Module VI,Reference family preserved; formal section-level citation validation pending,1f898927ac073e4d44c16f4789a004fb5145a5db62e0b1ee1d981ba20674fd12
LF-027,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,GVP Module VI,Reference family preserved; formal section-level citation validation pending,c4f19839b9af94164772c178403d63bd1c1936da45280ad254e56450f8c113f0
LF-028,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,ClinixAI,Reference family preserved; formal section-level citation validation pending,46e6046ec5538c2c98379c3917df020d1134f174382f927ee1c5c697b7276140
LF-029,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,"ALCOA+, GVP Module VI",Reference family preserved; formal section-level citation validation pending,c60217a4161abd49b2fa630093a2d3f6f3f71a12279edb2f1c72b055eef49915
LF-030,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,ClinixAI,Reference family preserved; formal section-level citation validation pending,71195edf92d61b2419dd7b91bd861d4cf51235d6a282a237739340b12c7ac1b9
SI-001,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,"GVP Module VI, ClinixAI",Reference family preserved; formal section-level citation validation pending,4abc2e935dc15e4acba297e37dad53766e60dbec39a4e4cbc36343062337c2b7
SI-002,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,GVP Module VI,Reference family preserved; formal section-level citation validation pending,a163664b1c17058948992bc30a47c4da4be39af6043d065f878b66cb27a6214d
SI-003,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,ClinixAI,Reference family preserved; formal section-level citation validation pending,c5bbe633948081db809c528cef8d62fe6ef5da2bccf14d0e5ad97056cbcc2e2c
SI-004,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,"GVP Module VI, ClinixAI",Reference family preserved; formal section-level citation validation pending,c9be7bc98527c1fd6086e4762a6000b118b9d4c4846b342dc57b72d5f9118ced
SI-005,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,Information Retrieval Best Practice,Reference family preserved; formal section-level citation validation pending,72a84b55e352554689991609c227543c258636aef118fb5f5c3035cb38f3f290
SI-006,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,GVP Module VI,Reference family preserved; formal section-level citation validation pending,bdcad12936a857d7eee7eac01b2e5a2ff404ed9d5d95e12f240575f682a49210
SI-007,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,ClinixAI,Reference family preserved; formal section-level citation validation pending,1c95e412beec4767a235d9c72c1a702c5f11787c35e56be8eb5896f08ec0e124
SI-008,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,GVP Module VI,Reference family preserved; formal section-level citation validation pending,a51c49f4fe864b37f5c85b19aa2daf0261e813dd40ec6ebc2d9768eb08d03a6e
SI-009,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,GVP Module VI,Reference family preserved; formal section-level citation validation pending,851c7edbb248fb2104566ddedfe54f670a2923092b457c665807baf1354e9373
SI-010,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,ClinixAI,Reference family preserved; formal section-level citation validation pending,c0f80a744f0cf25475394123dfabb73c4925485d26b6f90763fa84f711d3b483
DB-001,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,GVP Module VI,Reference family preserved; formal section-level citation validation pending,054f1265be332a20f46de440db5d4261de69cfe7baf85578b0b57fe004d22bdb
DB-002,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,ClinixAI,Reference family preserved; formal section-level citation validation pending,c7150e2f40b4f9e1b28195c9c01ce9ef748083f96443b3b85a30356ef33834b2
DB-003,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,PubMed Best Practice,Reference family preserved; formal section-level citation validation pending,4ab1a9a84fa23fc5413348b99e6f78d675247b1351d8039a2c5e9e9226274060
DB-004,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,PubMed / Embase Guidance,Reference family preserved; formal section-level citation validation pending,23009dd305bbd7ea018074dfc5de39aade10c788ff54e69eeb309984217968fe
DB-005,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,GVP Module VI,Reference family preserved; formal section-level citation validation pending,63e841285413e51b296cb25f1ba64f234f6ba40889a7fa5c231a43fd30647477
DB-006,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,PubMed Documentation,Reference family preserved; formal section-level citation validation pending,55af54965f2969a53d0073ce8784ee60ed532915ba78d5e56429882341c65b62
DB-007,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,ClinixAI,Reference family preserved; formal section-level citation validation pending,f09cd4df770b471870049e1142f4e5931ce04e9751fc403fac2803c70de845c2
DB-008,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,ClinixAI,Reference family preserved; formal section-level citation validation pending,d8547be0d57f21049d08e560946d533d5265cd4de9994e5ad5c0f77b024824f2
DB-009,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,ClinixAI,Reference family preserved; formal section-level citation validation pending,e4e57f163824199e5f02ccb9814938a2cf51b3ba858a177f607bab71df3875ff
DB-010,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,"GVP Module VI, ClinixAI",Reference family preserved; formal section-level citation validation pending,d174e195127739014c957cc938b654d953a46fa7b9fd82059bde1678cd6a1018
SDI-001,Approved,User-approved ClinixAI Literature Intelligence Master Knowledge Register v1.0,Pasted text(26).txt,"GVP Module VI, ClinixAI",Reference family preserved; formal section-level citation validation pending,816966027e4d0ecbe06e7bc77716f035cb7fad2da7a14d2a4b852df72f2cd00f
